ItemID;Klasör1;Path;Name;Yetki;Tip;Hidden;SonKullanim;İlkKullanim;Kullanim;Kullanici;Ana Konu;Bu rapor neyi gösteriyor?;Ana KPI’lar;Zaman Seviyesi;Kullanılan Filtreler;Hedef Kullanıcı;Yetkili Gruplar / Kullanıcılar;Benzer Raporlar;Not
ED928A90-0E7E-4F0B-B42F-D48E65D0C1BD;Satış/;/Satış/Portföy Performans/Yeni Eklenen Firmalar_Detay2;Yeni Eklenen Firmalar_Detay2;barisk  Bi DEM  Bi Fiyatlandırma  Bi Kalite Ekibi  Bi Satış  bi Satis Gelistirme  Bi Teknolojisatis  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators  resat.akinsel  volkan.bora;Report;0;;;1.0;0;;;;;;;;;
BBD3D9E1-0941-413E-87A1-D4AC0ABA45E6;Satış/;/Satış/Kullanıcı Performans/Stratejik Focus (2026);Stratejik Focus (2026);begumu  Bi Fiyatlandırma  Bi ik  Bi Kalite Ekibi  Bi Satış  bi Satis Gelistirme  Bi Teknolojisatis  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators  cenkk  okan.ay;Report;0;30.01.2026;26.03.2026;346.0;39;;;;;;;;;
719CEF1E-2DAF-4F85-AAB1-D73C9D1316AF;Satış/;/Satış/Portföy Performans/Basvuru Raporu_Musteri;Basvuru Raporu_Musteri;barisk  Bi DEM  Bi Fiyatlandırma  Bi Kalite Ekibi  Bi Satış  bi Satis Gelistirme  Bi Teknolojisatis  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators  resat.akinsel  volkan.bora;Report;1;26.12.2025;26.03.2026;589.0;30;;;;;;;;;
55CD1FA6-C1F3-40C8-AC0B-DA4BDCE02598;Satış/;/Satış/Portföy Performans/Ek Urun Teklif Durum Raporu_Detay;Ek Urun Teklif Durum Raporu_Detay;Bi Fiyatlandırma  Bi Kalite Ekibi  Bi Pazarlama İşveren  Bi Satış  bi Satis Gelistirme  bi TeleSatis  Bi Webrand  bisatisci  BISecurity  BUILTIN\Administrators;Report;1;;;1.0;0;;;;;;;;;
172E11AD-9EF6-4F24-9AD6-E31FA287353B;Satış/;/Satış/Kullanıcı Performans/Ek Butce Raporu;Ek Butce Raporu;Bi Fiyatlandırma  Bi Satış  BISecurity  BUILTIN\Administrators;Report;0;29.12.2025;18.03.2026;54.0;10;;;;;;;;;
06F7147E-3DDC-497F-B9C1-EBAFBD2ADEE4;Satış/;/Satış/Portföy Performans/Firma ve Pozisyon Bazli Ilan Sayilari;Firma ve Pozisyon Bazli Ilan Sayilari;Bi Satış  bi Satis Gelistirme  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators;Report;0;2.01.2026;5.03.2026;13.0;7;;;;;;;;;
CA27CE1B-5C7A-4738-A2BD-ED1DCEB68BBC;Satış/;/Satış/Portföy Performans/Satisci Firma Dagilimlari;Satisci Firma Dagilimlari;barisk  Bi Fiyatlandırma  Bi Satış  bi Satis Gelistirme  bi TeleSatis  Bi Ürün Geliştirme  bisatisci  BISecurity  BUILTIN\Administrators;Report;0;26.12.2025;26.03.2026;1080.0;92;;;;;;;;;
571A1B3A-55E1-457F-9272-ED70BB600D0D;Satış/;/Satış/Portföy Performans/Ilan Tuketim Raporu_Detay;Ilan Tuketim Raporu_Detay;barisk  Bi DEM  Bi Fiyatlandırma  Bi Kalite Ekibi  Bi Satış  bi Satis Gelistirme  Bi Teknolojisatis  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators  resat.akinsel  volkan.bora;Report;1;12.01.2026;26.03.2026;135.0;19;;;;;;;;;
7E6773BA-69D7-453F-A5F4-EDAB4154A87B;Satış/;/Satış/Kullanıcı Performans/Periyot Bazlı Satış;Periyot Bazlı Satış;Bi Satış  bi Satis Gelistirme  bi TeleSatis  Bi Yönetim  bisatisci  BISecurity  BUILTIN\Administrators;Dashboard;0;29.12.2025;19.03.2026;17.0;12;;;;;;;;;
095345B9-2022-4C26-95B9-EEEB7EE4F314;Satış/;/Satış/Portföy Performans/Matriks Raporu_Detay;Matriks Raporu_Detay;barisk  Bi DEM  Bi Fiyatlandırma  Bi Kalite Ekibi  Bi Satış  bi Satis Gelistirme  Bi Teknolojisatis  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators  resat.akinsel  volkan.bora;Report;1;24.03.2026;24.03.2026;2.0;1;;;;;;;;;
