ItemID;Name;Path;Type;CreationDate;ModifiedDate;Hidden
0EBFCC44-25B2-45E8-99AE-23BFA3B6177B;Basvuru Raporu;/Satış/Portföy Performans/Basvuru Raporu;2;2018-05-28 16:50:47.493;2021-09-20 13:10:02.263;False
70EFC477-CCB5-4F67-B749-64EE3A6305F5;Cerceve Sozlesme Hareketleri;/Satış/Portföy Performans/Cerceve Sozlesme Hareketleri;2;2020-05-13 13:04:25.027;2021-09-20 12:42:02.337;False
A2840D05-E23B-4B2F-988B-5EB375B8C536;Deneme Hesabi Raporu;/Satış/Portföy Performans/Deneme Hesabi Raporu;2;2020-09-23 09:58:38.513;2021-09-22 16:35:40.797;False
596BDABE-1A8A-4500-9563-8A3A42B300D4;Dijital Ortamda İlan Yayınlayan Firmalar;/Satış/Portföy Performans/Dijital Ortamda İlan Yayınlayan Firmalar;13;2022-01-28 14:15:28.703;2026-04-09 14:19:12.920;False
B179252A-8B4E-4B5F-B28B-B50C55DD2946;Ek Urun Teklif Durum Raporu;/Satış/Portföy Performans/Ek Urun Teklif Durum Raporu;2;2018-05-28 16:50:50.360;2022-09-13 15:27:51.780;False
B3F3FFA4-1BB2-4823-8085-3A2543562AEA;Erken Yenileme Firma Raporu;/Satış/Portföy Performans/Erken Yenileme Firma Raporu;13;2026-03-16 15:18:30.457;2026-03-18 15:28:09.773;False
F77B2F93-6B4A-431F-9F32-A2EFF46DA95C;Firma Aranma - Ulasma Raporu;/Satış/Portföy Performans/Firma Aranma - Ulasma Raporu;2;2018-05-28 16:50:53.903;2022-06-09 15:14:32.740;False
0BA7670D-D2F1-452B-BF8D-B2C1897BD025;Firma Aranma Analizi;/Satış/Portföy Performans/Firma Aranma Analizi;2;2022-07-28 12:23:22.053;2022-07-28 12:23:22.053;False
7BCAEB6D-E9EB-4ADC-9180-FBB823AEB4BC;Firma Ek Ürün Hakları ve Yenilemeleri;/Satış/Portföy Performans/Firma Ek Ürün Hakları ve Yenilemeleri;13;2023-01-06 14:34:17.087;2024-12-18 09:19:19.620;False
06F7147E-3DDC-497F-B9C1-EBAFBD2ADEE4;Firma ve Pozisyon Bazli Ilan Sayilari;/Satış/Portföy Performans/Firma ve Pozisyon Bazli Ilan Sayilari;2;2023-12-20 16:01:31.537;2025-03-20 18:06:12.413;False
3A3325D7-EF8F-4ECB-8C28-FA2CB0E02FC4;Hareket Kaydi Girilmeyen Firmalar;/Satış/Portföy Performans/Hareket Kaydi Girilmeyen Firmalar;2;2020-05-29 15:30:54.913;2021-09-20 12:42:55.673;False
80A41235-CD34-49D7-85B6-F96F4831F79D;Ilan Detay Istatistikleri;/Satış/Portföy Performans/Ilan Detay Istatistikleri;2;2018-04-12 17:01:28.450;2021-09-21 11:31:31.007;False
53A730E2-C5E1-405F-93C4-46C4BB4D5C4C;Ilan Tuketim Raporu;/Satış/Portföy Performans/Ilan Tuketim Raporu;2;2018-05-28 16:50:56.397;2025-12-15 11:14:46.963;False
3552471F-37BC-400D-9AC3-FE7302AB4B7C;Kalan Ilan Oranlari Raporu;/Satış/Portföy Performans/Kalan Ilan Oranlari Raporu;2;2018-05-28 16:55:35.063;2021-09-20 13:16:43.360;False
87CCA3E2-8CA4-48DE-A5F8-961C6CDB3E48;Matriks Raporu;/Satış/Portföy Performans/Matriks Raporu;2;2020-03-05 17:34:20.540;2021-09-21 09:32:19.610;False
79DB7801-3921-40C7-831C-0952FE9603EE;NextGeo - Sonuç Kodu Raporu;/Satış/Portföy Performans/NextGeo - Sonuç Kodu Raporu;13;2025-06-17 13:33:43.597;2026-02-12 10:31:33.190;False
17528818-8027-4FB8-8605-219D3B425A67;Pasif Firma Temas Raporu;/Satış/Portföy Performans/Pasif Firma Temas Raporu;2;2018-04-12 17:24:46.503;2021-09-20 12:43:19.310;False
BD544577-1285-4EC7-83FE-2D2CB3F91CF9;Sanal Asistan Raporu;/Satış/Portföy Performans/Sanal Asistan Raporu;2;2018-10-15 14:43:12.057;2022-03-14 11:28:54.903;False
CA27CE1B-5C7A-4738-A2BD-ED1DCEB68BBC;Satisci Firma Dagilimlari;/Satış/Portföy Performans/Satisci Firma Dagilimlari;2;2018-05-28 16:51:05.457;2023-11-30 15:19:48.383;False
B8F25EFC-7385-460B-91B6-7024CE7A2310;Savedesk Protokolü;/Satış/Portföy Performans/Savedesk Protokolü;13;2026-03-18 11:43:41.580;2026-03-30 14:43:10.667;False
2461E56C-31A4-4DA3-8E16-AADE7D786EB8;Teklif Raporu;/Satış/Portföy Performans/Teklif Raporu;2;2018-05-28 16:51:07.820;2025-03-07 10:50:54.530;False
BC55BBB4-3AEA-4CD1-97F5-3FE99534FED0;WeHire Firma Kümeleri;/Satış/Portföy Performans/WeHire Firma Kümeleri;13;2022-08-23 11:41:51.513;2026-04-09 16:33:30.070;False
CEB2C85A-C31B-4D29-A541-1CA3E4F0C274;Yeni Eklenen Firmalar;/Satış/Portföy Performans/Yeni Eklenen Firmalar;2;2018-05-28 16:51:10.290;2025-08-27 14:55:21.293;False
