ItemID;Name;Path;Type;Description;Hidden;Bu rapor neyi gösteriyor?;Ana KPI'lar
F1112BF2-D3DD-4BB3-BF55-870590C25EF0;Upsell-Downsell Raporu;/Pazarlama ve Ürün Yönetimi/İşveren/Upsell-Downsell Raporu;2;;False;;
592B2F99-2681-4C1E-92B4-2D05D0EC113C;İYS;/Pazarlama ve Ürün Yönetimi/İYS;13;;False;;
305A0B96-7A3D-4DD3-A4D2-F7E081EA5C17;Kampanyalar;/Pazarlama ve Ürün Yönetimi/Kampanyalar;13;;False;;
8D345AE8-88D5-4882-ABBA-202131FA0FB2;Kopilot;/Pazarlama ve Ürün Yönetimi/Kopilot;13;;False;;
77322FCB-5C45-4869-8218-EFEDD5917009;PeopleBox;/Pazarlama ve Ürün Yönetimi/PeopleBox;13;;False;;
701BFDD5-9ACD-4207-8CF1-7C8A72BCBF70;PJA Google Kampanyası İlan Takip;/Pazarlama ve Ürün Yönetimi/PJA Google Kampanyası İlan Takip;13;;False;;
15FBD3B8-4E73-4765-A504-500A3B8B56FF;Beklenen Satislar;/Pazarlama ve Ürün Yönetimi/Satış Geliştirme/Beklenen Satislar;2;;False;;
7025544A-823E-4F64-8AA2-956CB126AC47;Cagri Dinleme Raporu;/Pazarlama ve Ürün Yönetimi/Satış Geliştirme/Cagri Dinleme Raporu;2;;False;;
69677E26-CEAA-495F-9AC2-C5794196F21E;WeeklyTopline;/Pazarlama ve Ürün Yönetimi/WeeklyTopline;13;;False;;
4EAEC030-24EA-4C13-B190-734DE2258A99;Rate1;/Rating/Rate1;13;;False;;
CCA5938E-E842-4AEE-AE53-2011FA9D97BD;Rate2;/Rating/Rate2;13;;False;;
0A2DCA63-153C-41D3-93B5-9511C2ED77FD;Rate3;/Rating/Rate3;13;;False;;
8C4580B1-3464-4169-84F0-0A06E36BBF6B;_Satışlar;/Satış/_Satışlar;13;;False;;
BAC28A84-D664-40EC-AF5F-64ED5901A982;Baremlere Göre Aktif Portföy Sözleşmeleri;/Satış/Baremlere Göre Aktif Portföy Sözleşmeleri;13;;False;;
E9DDB918-6329-4B9E-989E-176723B2839D;Bootcamp Mezun Adayları;/Satış/Bootcamp Mezun Adayları;13;;False;;
FF7412EB-E335-4A14-BA3E-82BB8CBA4434;Canlı İKÇO Dashboard;/Satış/Canlı İKÇO Dashboard;13;;False;;
CFB8223D-5701-4D57-A0F7-166378D0F7AB;Coensio Lead;/Satış/Coensio Lead;13;;False;;
A169CCF1-07A4-4800-8FBA-71C1DF044917;Ek Ürün Gelir Oranı;/Satış/Ek Ürün Gelir Oranı;13;;False;;
703E5261-F956-4C15-AD06-7670D314CCBC;FinalCheck;/Satış/FinalCheck;13;;False;;
56A0056A-A4CB-4F87-A5DD-792835DE2CBC;Gerçekleşme;/Satış/Gerçekleşme;13;;False;;
F81B31E6-AB1B-481E-9E70-02289177F863;Global Counter-Sayaç Hakkı Tanım;/Satış/Global Counter-Sayaç Hakkı Tanım;13;;False;;
50478464-B9A7-41A8-80F2-3ED50E4C56CD;Gorusme  Asistan;/Satış/Gorusme  Asistan;2;;False;;
B47794A3-4B02-414C-90A0-BED65685C0FE;Güncel İKÇO Bölge ve Zoneları;/Satış/Güncel İKÇO Bölge ve Zoneları;13;;False;;
477AA63F-7D8A-437B-A827-5BB1235C3F00;Haftalık Hedef Takip;/Satış/Haftalık Hedef Takip;13;;False;;
B5618629-082A-4E80-82D9-F7711BD36DB2;İKÇO ve Ekip Paket Satış Dashboardu;/Satış/İKÇO ve Ekip Paket Satış Dashboardu;13;;False;;
896B10D1-162B-4AF6-B863-8ABDAADD1AD6;Bolge Bazli Performans;/Satış/Kullanıcı Performans/Bolge Bazli Performans;2;;False;;
CFEFFF13-58E3-4FC1-B07F-1026AB8EDCA1;Çağrı-Kalite Puanları;/Satış/Kullanıcı Performans/Çağrı-Kalite Puanları;13;;False;;
172E11AD-9EF6-4F24-9AD6-E31FA287353B;Ek Butce Raporu;/Satış/Kullanıcı Performans/Ek Butce Raporu;2;Satış yöneticileri tarafından tekliflere eklenen paket bilgilerini içermektedir.;False;;
FBE8D62D-35AD-48C4-A77C-4421C43BA01B;Gunluk Hedef Gerceklestirme;/Satış/Kullanıcı Performans/Gunluk Hedef Gerceklestirme;2;Ekip-Kişi Bazında Günlük Gerçekleşen Satışlar ve Hedefe Uzaklık Bilgileri;False;;
44E703E3-6AE1-410C-8D2A-3DCE414F21E7;Hedef Gerceklestirme;/Satış/Kullanıcı Performans/Hedef Gerceklestirme;13;;False;;
924533FE-650B-48C3-A508-6BB848873241;Hedef Gerceklestirme Raporu - Kirilimli;/Satış/Kullanıcı Performans/Hedef Gerceklestirme Raporu - Kirilimli;2;Ekip, Kişi Bazında ve Hedef Tipi Kırılımında Hedef Gerçekleştirme Oranı;False;;
8DBC6ED9-8972-47D3-A73C-74FDED90ACEC;Hedef Gerceklestirme Raporu - Kirilimli2;/Satış/Kullanıcı Performans/Hedef Gerceklestirme Raporu - Kirilimli2;2;;False;;
C6AD88B6-A7B9-4853-952F-5BB0E396B8F9;Kritik Islemler Raporu;/Satış/Kullanıcı Performans/Kritik Islemler Raporu;2;Kritiklerin Bölge, Segment ve Müşteri Temsilcisi Kırılımında Kritik Detayları;False;;
7CB874DC-59DE-450A-9376-5A152A516ED5;Master IK Raporu;/Satış/Kullanıcı Performans/Master IK Raporu;2;;False;;
BF2B4E80-67E6-4B6D-9859-3E335A35F07A;Master IK Yonetici;/Satış/Kullanıcı Performans/Master IK Yonetici;2;;False;;
7E6773BA-69D7-453F-A5F4-EDAB4154A87B;Periyot Bazlı Satış;/Satış/Kullanıcı Performans/Periyot Bazlı Satış;13;;False;;
9D1CC993-E81B-4623-AFD3-B201349CB5C6;Satış Kiti;/Satış/Kullanıcı Performans/Satış Kiti;13;;False;;
976BB63B-EDDA-4540-A522-2105A5DA1400;Satis Oncesi Takip;/Satış/Kullanıcı Performans/Satis Oncesi Takip;2;Günlük kişi başı ve ekip bazında aktive rakamları;False;;
B5633E82-9FBB-4255-9BB8-F8C5259B8D31;Satis Oncesi Takip - Bolge Detayi;/Satış/Kullanıcı Performans/Satis Oncesi Takip - Bolge Detayi;2;;False;;
6EFA4235-8AAA-47BB-9223-A739FE53158D;Satisci Aktivite Rakamlari;/Satış/Kullanıcı Performans/Satisci Aktivite Rakamlari;2;Satışçı Bazında Satışçı/Gün Arama - Ulaşma - Ziyaret - Teklif - Satış Rakamları;False;;
38D48A64-F589-443A-A09E-8A6BFB6D4419;Satisci Aktivite Rakamlari_ Gunluk;/Satış/Kullanıcı Performans/Satisci Aktivite Rakamlari_ Gunluk;2;Satışçı Bazında Günlük Arama - Ulaşma - Ziyaret - Teklif - Satış Rakamları;False;;
757878D1-B3AE-4CB1-B408-CDE5F498B88B;Satisci Firma Temas Raporu;/Satış/Kullanıcı Performans/Satisci Firma Temas Raporu;2;Aktif - Pasif - Potansiyel Firmaların Satışçısı Tarafından Son Arama - Ulaşma ve Teklif Detayları;False;;
80BE231F-17C9-4384-A00E-39C96F137449;Stratejik Focus (2025);/Satış/Kullanıcı Performans/Stratejik Focus (2025);2;;False;;
BBD3D9E1-0941-413E-87A1-D4AC0ABA45E6;Stratejik Focus (2026);/Satış/Kullanıcı Performans/Stratejik Focus (2026);2;;False;;
B24CBD37-F049-4808-94AF-26D517215571;Tahimini Hedef Gerçekleştirme;/Satış/Kullanıcı Performans/Tahimini Hedef Gerçekleştirme;13;;False;;
67D99CEF-596F-4070-BD23-71F3C821DFCF;Tahmini HGO;/Satış/Kullanıcı Performans/Tahmini HGO;13;;False;;
C6C0B1C4-C38F-48D4-81D5-F6F52B6F5DE1;Tele Satis Firma Arama Analizi;/Satış/Kullanıcı Performans/Tele Satis Firma Arama Analizi;2;;False;;
01A1AABA-6AEB-4BA8-8400-31C700F2845C;Paylasilan Satislar;/Satış/Paylasilan Satislar;2;Ekip ve Satışçı Detayında Paylaşılan Satışlar;False;;
A5D2562E-8ADE-48F5-93A7-845E92E9D566;PeopleBox;/Satış/PeopleBox;13;;False;;
A8DEED43-D398-4510-B2C1-9D9118D03492;Acil Panel Hareketleri;/Satış/Portföy Performans/Acil Panel Hareketleri;2;;False;;
EB942635-12CB-4EFE-B0B9-2E1E95B459F8;Aktarilan Firmalar;/Satış/Portföy Performans/Aktarilan Firmalar;2;Aktarılan Firmaların Ekip, Satışçı ve Zone Bazında Aktarım Bilgileri ve Aktarım Sonrası İlk Temas Bilgileri;False;;
051BD700-40B0-45FD-9634-3F42CAEFB9FB;Aktif Firmalar Ürün Satışları;/Satış/Portföy Performans/Aktif Firmalar Ürün Satışları;13;;False;;
48C1F35D-5D6E-487E-8086-FFD62BD24794;Aktif Ilan Basvuru Kıyaslaması;/Satış/Portföy Performans/Aktif Ilan Basvuru Kıyaslaması;2;;False;;
EE8DE08A-62E7-41FC-8562-76CE00ED7818;Aktif Ilan Basvuru Kıyaslaması (Firma Kirilimli);/Satış/Portföy Performans/Aktif Ilan Basvuru Kıyaslaması (Firma Kirilimli);2;;False;;
CBC502C0-0E70-44A5-9A94-C3C6A27F0957;Aylık Churn;/Satış/Portföy Performans/Aylık Churn;13;;False;;
3E8E7B60-65F7-40A8-980F-A1F21CE82CDC;Basvuru Almamis Ilan;/Satış/Portföy Performans/Basvuru Almamis Ilan;2;Son 10 Günde Yayında Olan Aktif ve Başvuru Almamış İlanlar;False;;
0EBFCC44-25B2-45E8-99AE-23BFA3B6177B;Basvuru Raporu;/Satış/Portföy Performans/Basvuru Raporu;2;Farklı Kanallardan Gelen Firma Başvurularının Zone ve Satışçı Dağılımı (Bu Firmaların Aranma - Teklif ve Satış Detayları);False;;
70EFC477-CCB5-4F67-B749-64EE3A6305F5;Cerceve Sozlesme Hareketleri;/Satış/Portföy Performans/Cerceve Sozlesme Hareketleri;2;;False;;
A2840D05-E23B-4B2F-988B-5EB375B8C536;Deneme Hesabi Raporu;/Satış/Portföy Performans/Deneme Hesabi Raporu;2;;False;;
596BDABE-1A8A-4500-9563-8A3A42B300D4;Dijital Ortamda İlan Yayınlayan Firmalar;/Satış/Portföy Performans/Dijital Ortamda İlan Yayınlayan Firmalar;13;;False;;
B179252A-8B4E-4B5F-B28B-B50C55DD2946;Ek Urun Teklif Durum Raporu;/Satış/Portföy Performans/Ek Urun Teklif Durum Raporu;2;Ek Ürün Bazında Teklif Verilen Ek Ürün Bilgileri ve Satışa Dönüşüm Oranları;False;;
B3F3FFA4-1BB2-4823-8085-3A2543562AEA;Erken Yenileme Firma Raporu;/Satış/Portföy Performans/Erken Yenileme Firma Raporu;13;;False;;
