ItemID;Name;Path;Hidden;URL
0A2DCA63-153C-41D3-93B5-9511C2ED77FD;Rate3;/Rating/Rate3;False;https://raportal.kariyer.net/home/report/Rating/Rate3
5E0181FE-F556-4D4D-85A0-EBF4B1039308;Rekorlar;/.KARİYER.NET CORE/Rekorlar;False;https://raportal.kariyer.net/home/report/.KAR%C4%B0YER.NET%20CORE/Rekorlar
5BEABF20-6C7F-491B-BEFB-23388E048FA6;Rekorlarımız;/.KARİYER.NET CORE/Rekorlarımız;False;https://raportal.kariyer.net/home/report/.KAR%C4%B0YER.NET%20CORE/Rekorlar%C4%B1m%C4%B1z
5C0C0903-29C3-4392-9475-66DD2D600EF3;Researcher Performansı ve Günlük Akıllı İlan;/WeConsulting/Researcher Performansı ve Günlük Akıllı İlan;False;https://raportal.kariyer.net/home/report/WeConsulting/Researcher%20Performans%C4%B1%20ve%20G%C3%BCnl%C3%BCk%20Ak%C4%B1ll%C4%B1%20%C4%B0lan
6832CEEC-C8CA-4A4D-AB63-B9442096F9F6;Researcher Verimlilik Raporu (Canlı);/WeConsulting/Researcher Verimlilik Raporu (Canlı);False;https://raportal.kariyer.net/home/report/WeConsulting/Researcher%20Verimlilik%20Raporu%20%28Canl%C4%B1%29
BD544577-1285-4EC7-83FE-2D2CB3F91CF9;Sanal Asistan Raporu;/Satış/Portföy Performans/Sanal Asistan Raporu;False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/Portf%C3%B6y%20Performans/Sanal%20Asistan%20Raporu
1475B505-E26B-441A-9711-30B030510B87;Satis Gelistirme - Cekilis;/Subscriptions/Satis Gelistirme - Cekilis;False;https://raportal.kariyer.net/home/report/Subscriptions/Satis%20Gelistirme%20-%20Cekilis
976BB63B-EDDA-4540-A522-2105A5DA1400;Satis Oncesi Takip;/Satış/Kullanıcı Performans/Satis Oncesi Takip;False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/Kullan%C4%B1c%C4%B1%20Performans/Satis%20Oncesi%20Takip
B5633E82-9FBB-4255-9BB8-F8C5259B8D31;Satis Oncesi Takip - Bolge Detayi;/Satış/Kullanıcı Performans/Satis Oncesi Takip - Bolge Detayi;False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/Kullan%C4%B1c%C4%B1%20Performans/Satis%20Oncesi%20Takip%20-%20Bolge%20Detayi
D8F9C772-3EA0-4350-A03C-ECB628DE1291;Satis Performans Degerlendirme Raporu;/İnsan Kaynakları ve Eğitim/Satis Performans Degerlendirme Raporu;False;https://raportal.kariyer.net/home/report/%C4%B0nsan%20Kaynaklar%C4%B1%20ve%20E%C4%9Fitim/Satis%20Performans%20Degerlendirme%20Raporu
6EFA4235-8AAA-47BB-9223-A739FE53158D;Satisci Aktivite Rakamlari;/Satış/Kullanıcı Performans/Satisci Aktivite Rakamlari;False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/Kullan%C4%B1c%C4%B1%20Performans/Satisci%20Aktivite%20Rakamlari
38D48A64-F589-443A-A09E-8A6BFB6D4419;Satisci Aktivite Rakamlari_ Gunluk;/Satış/Kullanıcı Performans/Satisci Aktivite Rakamlari_ Gunluk;False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/Kullan%C4%B1c%C4%B1%20Performans/Satisci%20Aktivite%20Rakamlari_%20Gunluk
64D93317-E0C0-45D8-A7CA-EB0888E13BBE;Satisci Firma Dagilimlari;/Subscriptions/Satisci Firma Dagilimlari;False;https://raportal.kariyer.net/home/report/Subscriptions/Satisci%20Firma%20Dagilimlari
CA27CE1B-5C7A-4738-A2BD-ED1DCEB68BBC;Satisci Firma Dagilimlari;/Satış/Portföy Performans/Satisci Firma Dagilimlari;False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/Portf%C3%B6y%20Performans/Satisci%20Firma%20Dagilimlari
757878D1-B3AE-4CB1-B408-CDE5F498B88B;Satisci Firma Temas Raporu;/Satış/Kullanıcı Performans/Satisci Firma Temas Raporu;False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/Kullan%C4%B1c%C4%B1%20Performans/Satisci%20Firma%20Temas%20Raporu
B9F72722-3090-496F-A4EE-5735E2B6E24D;Satış Aktivite Raporu;/.KARİYER.NET CORE/Satış Aktivite Raporu;False;https://raportal.kariyer.net/home/report/.KAR%C4%B0YER.NET%20CORE/Sat%C4%B1%C5%9F%20Aktivite%20Raporu
